id;comment;punch_item_id
1;Выполнено - проверить;1
2;Выполнено - проверить;2
3;Выполнено - проверить;3
4;Выполнено - проверить;4
5;Выполнено - проверить;5
6;Выполнено - проверить;6
7;Выполнено - проверить;7
8;Выполнено - проверить;8
9;Выполнено - проверить;9
10;Выполнено - проверить;10
11;Выполнено - проверить;11
12;Выполнено - проверить;12
13;Выполнено - проверить;13
14;Выполнено - проверить;14
15;Выполнено - проверить;15
16;Выполнено - проверить;16
17;Выполнено - проверить;17
18;Выполнено - проверить;18
19;Выполнено - проверить;19
20;Выполнено - проверить;20
21;Выполнено - проверить;21
22;Выполнено - проверить;22
23;Выполнено - проверить;23
24;Выполнено - проверить;24
25;Выполнено - проверить;25
26;Выполнено - проверить;26
27;Выполнено - проверить;27
28;Выполнено - проверить;28
29;Выполнено - проверить;29
30;Выполнено - проверить;30
31;Выполнено - проверить;31
32;Выполнено - проверить;32
33;Выполнено - проверить;33
34;Выполнено - проверить;34
35;Выполнено - проверить;35
36;Выполнено - проверить;36
37;Выполнено - проверить;37
38;Выполнено - проверить;38
39;Выполнено - проверить;39
40;Выполнено - проверить;40
41;Выполнено - проверить;41
42;Выполнено - проверить;42
43;Выполнено - проверить;43
44;Выполнено - проверить;44
45;Выполнено - проверить;45
46;Выполнено - проверить;46
47;Выполнено - проверить;47
48;Выполнено - проверить;48
49;Выполнено - проверить;49
50;Выполнено - проверить;50
51;Выполнено - проверить;51
52;Выполнено - проверить;52
53;Выполнено - проверить;53
54;Выполнено - проверить;54
55;Выполнено - проверить;55
56;Выполнено - проверить;56
57;Выполнено - проверить;57
58;Выполнено - проверить;58
59;Выполнено - проверить;59
60;Выполнено - проверить;60
61;Выполнено - проверить;61
62;Выполнено - проверить;62
63;Выполнено - проверить;63
64;Выполнено - проверить;64
65;Выполнено - проверить;65
66;Выполнено - проверить;66
67;Выполнено - проверить;67
68;Выполнено - проверить;68
69;Выполнено - проверить;69
70;Выполнено - проверить;70
71;Выполнено - проверить;71
72;Выполнено - проверить;72
73;Выполнено - проверить;73
74;Выполнено - проверить;74
75;Выполнено - проверить;75
76;Выполнено - проверить;76
77;Выполнено - проверить;77
78;Выполнено - проверить;78
79;Выполнено - проверить;79
80;Выполнено - проверить;80
81;Выполнено - проверить;81
82;Выполнено - проверить;82
83;Выполнено - проверить;83
84;Выполнено - проверить;84
85;Выполнено - проверить;85
86;Выполнено - проверить;86
87;Выполнено - проверить;87
88;Выполнено - проверить;88
89;Выполнено - проверить;89
90;Выполнено - проверить;90
91;Выполнено - проверить;91
92;Выполнено - проверить;92
93;Выполнено - проверить;93
94;Выполнено - проверить;94
95;Выполнено - проверить;95
96;Выполнено - проверить;96
97;Выполнено - проверить;97
98;Выполнено - проверить;98
99;Выполнено - проверить;99
100;Выполнено - проверить;100
101;Выполнено - проверить;101
102;Выполнено - проверить;102
103;Выполнено - проверить;103
104;Выполнено - проверить;104
105;Выполнено - проверить;105
106;Выполнено - проверить;106
107;Выполнено - проверить;107
108;Выполнено - проверить;108
109;Выполнено - проверить;109
110;Выполнено - проверить;110
111;Выполнено - проверить;111
112;Выполнено - проверить;112
113;Выполнено - проверить;113
114;Выполнено - проверить;114
115;Выполнено - проверить;115
116;Выполнено - проверить;116
117;Выполнено - проверить;117
118;Выполнено - проверить;118
119;Выполнено - проверить;119
120;Выполнено - проверить;120
121;Выполнено - проверить;121
122;Выполнено - проверить;122
123;Выполнено - проверить;123
124;Выполнено - проверить;124
125;Выполнено - проверить;125
126;Выполнено - проверить;126
127;Выполнено - проверить;127
128;Выполнено - проверить;128
129;Выполнено - проверить;129
130;Выполнено - проверить;130
131;Выполнено - проверить;131
132;Выполнено - проверить;132
133;Выполнено - проверить;133
134;Выполнено - проверить;134
135;Выполнено - проверить;135
136;Выполнено - проверить;136
137;Выполнено - проверить;137
138;Выполнено - проверить;138
139;Выполнено - проверить;139
140;Выполнено - проверить;140
141;Выполнено - проверить;141
142;Выполнено - проверить;142
143;Выполнено - проверить;143
144;Выполнено - проверить;144
145;Выполнено - проверить;145
146;Выполнено - проверить;146
147;Выполнено - проверить;147
148;Выполнено - проверить;148
149;Выполнено - проверить;149
150;Выполнено - проверить;150
151;Выполнено - проверить;151
152;Выполнено - проверить;152
153;Выполнено - проверить;153
154;Выполнено - проверить;154
155;Выполнено - проверить;155
156;Выполнено - проверить;156
157;Выполнено - проверить;157
158;Выполнено - проверить;158
159;Выполнено - проверить;159
160;Выполнено - проверить;160
161;Выполнено - проверить;161
162;Выполнено - проверить;162
163;Выполнено - проверить;163
164;Выполнено - проверить;164
165;Выполнено - проверить;165
166;Выполнено - проверить;166
167;Выполнено - проверить;167
168;Выполнено - проверить;168
169;Выполнено - проверить;169
170;Выполнено - проверить;170
171;Выполнено - проверить;171
172;Выполнено - проверить;172
173;Выполнено - проверить;173
174;Выполнено - проверить;174
175;Выполнено - проверить;175
176;Выполнено - проверить;176
177;Выполнено - проверить;177
178;Выполнено - проверить;178
179;Выполнено - проверить;179
180;Выполнено - проверить;180
181;Выполнено - проверить;181
182;Выполнено - проверить;182
183;Выполнено - проверить;183
184;Выполнено - проверить;184
185;Выполнено - проверить;185
186;Выполнено - проверить;186
187;Выполнено - проверить;187
188;Выполнено - проверить;188
189;Нет комплектации;64
190;Нет комплектации;65
191;Нет комплектации;66
192;Нет комплектации;67
193;Нет комплектации;68
194;Нет комплектации;69
195;Нет комплектации;70
196;Нет комплектации;71
197;Нет комплектации;72
198;Нет комплектации;73
199;Нет комплектации;74
200;Нет комплектации;75
201;Нет комплектации;76
202;Нет комплектации;77
203;Нет комплектации;78
204;Нет комплектации;79
205;Нет комплектации;80
206;Нет комплектации;81
207;Нет комплектации;82
208;Нет комплектации;83
209;Нет комплектации;84
210;Нет комплектации;85
211;Нет комплектации;86
212;Нет комплектации;87
213;Нет комплектации;88
214;Нет комплектации;89
215;Нет комплектации;90
216;Нет комплектации;91
217;Будет выполнено после испытаний;92
218;Будет выполнено после испытаний;93
219;Будет выполнено после испытаний;94
220;Будет выполнено после испытаний;125
221;Будет выполнено после испытаний;126
222;Будет выполнено после испытаний;127
223;Будет выполнено после испытаний;128
224;Будет выполнено после испытаний;129
225;Будет выполнено после испытаний;130
226;Будет выполнено после испытаний;131
227;Будет выполнено после испытаний;132
228;Будет выполнено после испытаний;133
229;Будет выполнено после испытаний;134
230;Будет выполнено после испытаний;135
231;Будет выполнено после испытаний;136
232;Будет выполнено после испытаний;137
233;Будет выполнено после испытаний;138
234;Будет выполнено после испытаний;139
235;Будет выполнено после испытаний;140
236;Будет выполнено после испытаний;141
237;Будет выполнено после испытаний;142
238;Будет выполнено после испытаний;143
239;Будет выполнено после испытаний;5
240;Будет выполнено после испытаний;6
241;Будет выполнено после испытаний;7
242;Будет выполнено после испытаний;8
243;Будет выполнено после испытаний;9
244;Будет выполнено после испытаний;10
245;Будет выполнено после испытаний;11
246;Будет выполнено после испытаний;12
247;Будет выполнено после испытаний;13
248;Будет выполнено после испытаний;14
249;Будет выполнено после испытаний;15
